Asset ID,Asset Name,Asset Type,Owner,Classification,Location,Status,Purchase Date,Warranty Expiry,Last Updated,Control Reference
AST-001,Primary Database Server,Hardware,Henry Chen,Confidential,Data Center Rack A1,Active,2023-03-15,2026-03-15,2024-09-15,5.9
AST-002,HR Database,Data,Carol Davis,Restricted,Database Server,Active,N/A,N/A,2024-09-10,5.9
AST-003,Financial Records System,Software,Jack Anderson,Confidential,Cloud Infrastructure,Active,2022-11-20,2025-11-20,2024-09-12,5.9
AST-004,Employee Laptop - Alice,Hardware,Alice Johnson,Internal,Office/Remote,Active,2023-07-10,2026-07-10,2024-09-08,5.9
AST-005,Customer Data Repository,Data,Sales Team,Restricted,Secure Cloud Storage,Active,N/A,N/A,2024-09-14,5.9
AST-006,Network Firewall,Hardware,Emma Brown,Critical,Network Operations Center,Active,2024-01-05,2027-01-05,2024-09-16,5.9
AST-007,Source Code Repository,Data,Development Team,Confidential,Version Control System,Active,N/A,N/A,2024-09-17,5.9
AST-008,Email Server,Software,Bob Smith,Internal,Data Center,Active,2023-05-12,2026-05-12,2024-09-11,5.9
AST-009,Mobile Device - David,Hardware,David Wilson,Internal,Mobile/Remote,Active,2024-02-28,2027-02-28,2024-09-13,5.9
AST-010,Backup Storage Array,Hardware,IT Operations,Critical,Offsite Backup Facility,Active,2023-09-20,2026-09-20,2024-09-09,5.9
AST-011,CRM Software License,Software,Sales Team,Internal,Cloud Service,Active,2023-12-01,2024-12-01,2024-09-05,5.9
AST-012,Security Camera System,Hardware,Security Team,Internal,Building Perimeter,Active,2022-08-15,2025-08-15,2024-09-07,5.9
AST-013,Intellectual Property Documents,Data,Legal Team,Restricted,Secure Document Management,Active,N/A,N/A,2024-09-06,5.9
AST-014,Network Switch,Hardware,Network Team,Internal,Equipment Room,Active,2023-11-10,2026-11-10,2024-09-04,5.9
AST-015,Retired Server,Hardware,Former Owner,Decommissioned,Secure Disposal,Disposed,2020-06-01,2023-06-01,2024-08-30,5.11
