CRF_ID,Plan_Created_Date,Planned_Start_Date,Planned_End_Date,Resources_Required,Rollback_Procedure,Implementation_Steps,Plan_Owner
CRF-2024-0001,2024-01-10,2024-01-15,2024-02-20,"Cross-functional team, 30 hours",Documented in implementation plan appendix,7,David Brown
CRF-2024-0002,2024-02-05,2024-02-10,2024-02-14,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,7,Sarah Johnson
CRF-2024-0003,2024-11-14,2024-11-22,2024-11-30,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,11,David Brown
CRF-2024-0004,2024-02-28,2024-03-07,2024-04-11,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,8,Michael Chen
CRF-2024-0005,2024-03-26,2024-04-09,2024-05-10,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,6,Michael Chen
CRF-2024-0006,2024-02-25,2024-03-01,2024-04-09,"Cross-functional team, 30 hours",Documented in implementation plan appendix,10,Michael Chen
CRF-2024-0007,2024-04-11,2024-04-25,2024-04-22,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,5,David Brown
CRF-2024-0008,2024-06-03,2024-06-09,2024-07-18,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,9,David Brown
CRF-2024-0009,2024-08-07,2024-08-13,2024-09-06,"Cross-functional team, 30 hours",Documented in implementation plan appendix,4,Michael Chen
CRF-2024-0010,2024-09-07,2024-09-18,2024-09-20,"Cross-functional team, 30 hours",Documented in implementation plan appendix,11,David Brown
CRF-2024-0011,2024-03-19,2024-03-26,2024-04-22,"Cross-functional team, 30 hours",Documented in implementation plan appendix,12,Michael Chen
CRF-2024-0012,2024-08-26,2024-09-09,2024-09-29,"Cross-functional team, 30 hours",Documented in implementation plan appendix,9,Sarah Johnson
CRF-2024-0013,2024-02-14,2024-02-26,2024-03-09,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,11,David Brown
CRF-2024-0014,2024-11-08,2024-11-18,2024-12-09,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,11,Michael Chen
CRF-2024-0015,2024-04-03,2024-04-11,2024-05-11,"Cross-functional team, 30 hours",Documented in implementation plan appendix,8,Michael Chen
CRF-2024-0016,2024-05-23,2024-06-01,2024-07-07,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,12,Sarah Johnson
CRF-2024-0017,2024-02-13,2024-02-24,2024-03-06,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,12,Sarah Johnson
CRF-2024-0018,2024-08-31,2024-09-12,2024-10-08,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,5,Michael Chen
CRF-2024-0019,2024-04-23,2024-05-01,2024-05-25,"Cross-functional team, 30 hours",Documented in implementation plan appendix,9,Michael Chen
CRF-2024-0020,2024-10-10,2024-10-20,2024-11-19,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,12,Michael Chen
CRF-2024-0021,2024-06-29,2024-07-08,2024-08-04,"Cross-functional team, 30 hours",Documented in implementation plan appendix,8,Sarah Johnson
CRF-2024-0022,2024-03-02,2024-03-12,2024-03-21,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,12,David Brown
CRF-2024-0023,2024-04-04,2024-04-12,2024-04-23,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,8,David Brown
CRF-2024-0024,2024-10-28,2024-11-11,2024-12-07,"Cross-functional team, 30 hours",Documented in implementation plan appendix,5,Sarah Johnson
CRF-2024-0025,2024-05-31,2024-06-10,2024-06-21,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,8,Sarah Johnson
CRF-2024-0026,2024-09-30,2024-10-09,2024-10-15,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,4,David Brown
CRF-2024-0027,2024-05-29,2024-06-13,2024-06-13,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,5,Sarah Johnson
CRF-2024-0028,2024-10-20,2024-11-01,2024-11-14,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,11,Michael Chen
CRF-2024-0029,2024-04-04,2024-04-13,2024-04-14,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,5,Sarah Johnson
CRF-2024-0030,2024-07-24,2024-07-30,2024-08-31,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,6,Sarah Johnson
CRF-2024-0031,2024-10-15,2024-10-21,2024-11-10,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,5,David Brown
CRF-2024-0032,2024-08-01,2024-08-15,2024-09-15,"External consultant, IS team, 40 hours",Documented in implementation plan appendix,12,Michael Chen
CRF-2024-0033,2024-08-18,2024-08-27,2024-09-22,"IS Manager, documentation specialist, 15 hours",Documented in implementation plan appendix,8,David Brown
CRF-2024-0034,2024-11-13,2024-11-27,2024-11-23,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,7,David Brown
CRF-2024-0035,2024-04-18,2024-05-03,2024-05-11,"IS Manager, 2 team members, 20 hours",Documented in implementation plan appendix,6,Sarah Johnson
